playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID,teamID,lgID,salary
keyji01,1961.0,4.0,22.0,USA,AL,Huntsville,,,,,,,Jimmy,Key,James Edward,185.0,73.0,R,L,1984-04-06,1998-09-20,key-j001,keyji01,1998.0,BAL,AL,5390825.0
kileda01,1968.0,12.0,2.0,USA,CA,Garden Grove,2002.0,6.0,22.0,USA,IL,Chicago,Darryl,Kile,Darryl Andrew,185.0,77.0,R,R,1991-04-08,2002-06-18,kiled001,kileda01,2002.0,SLN,NL,7166667.0
kimbrcr01,1988.0,5.0,28.0,USA,AL,Huntsville,,,,,,,Craig,Kimbrel,Craig Michael,220.0,71.0,R,R,2010-05-07,2015-10-01,kimbc001,kimbrcr01,2015.0,SDN,NL,9000000.0
kinslia01,1982.0,6.0,22.0,USA,AZ,Tucson,,,,,,,Ian,Kinsler,Ian Michael,200.0,72.0,R,R,2006-04-03,2015-10-03,kinsi001,kinslia01,2015.0,DET,AL,16000000.0
kochbi01,1974.0,12.0,14.0,USA,NY,Rockville Centre,,,,,,,Billy,Koch,William Christopher,218.0,75.0,R,R,1999-05-05,2004-08-26,kochb001,kochbi01,2004.0,CHA,AL,6375000.0
koskico01,1973.0,6.0,28.0,CAN,MB,Anola,,,,,,,Corey,Koskie,Cordel Leonard,215.0,75.0,L,R,1998-09-09,2006-07-05,koskc001,koskico01,2007.0,MIL,NL,5750000.0
kouzmke01,1981.0,7.0,25.0,USA,CA,Newport Beach,,,,,,,Kevin,Kouzmanoff,Kevin,210.0,73.0,R,R,2006-09-02,2014-04-22,kouzk001,kouzmke01,2011.0,OAK,AL,4750000.0
kurodhi01,1975.0,2.0,10.0,Japan,Osaka,Osaka,,,,,,,Hiroki,Kuroda,Hiroki,205.0,73.0,R,R,2008-04-04,2014-09-25,kuroh001,kurodhi01,2014.0,NYA,AL,16000000.0
lansimi01,1968.0,4.0,3.0,USA,WY,Rawlins,,,,,,,Mike,Lansing,Michael Thomas,175.0,72.0,R,R,1993-04-07,2001-09-08,lansm001,lansimi01,2001.0,BOS,AL,6250000.0
larocad01,1979.0,11.0,6.0,USA,CA,Orange County,,,,,,,Adam,LaRoche,David Adam,205.0,75.0,L,L,2004-04-07,2015-10-02,laroa001,larocad01,2015.0,CHA,AL,12000000.0
latosma01,1987.0,12.0,9.0,USA,VA,Alexandria,,,,,,,Mat,Latos,Mathew Adam,245.0,78.0,R,R,2009-07-19,2015-10-03,latom001,latosma01,2015.0,MIA,NL,9400000.0
leagubr01,1983.0,3.0,16.0,USA,CA,Sacramento,,,,,,,Brandon,League,Brandon Paul,200.0,74.0,R,R,2004-09-21,2014-09-27,leagb001,leagubr01,2014.0,LAN,NL,7500000.0
leakemi01,1987.0,11.0,12.0,USA,CA,San Diego,,,,,,,Mike,Leake,Michael Raymond,190.0,70.0,R,R,2010-04-11,2015-10-03,leakm001,leakemi01,2015.0,CIN,NL,9775000.0
leeca01,1976.0,6.0,20.0,Panama,Cocle,Aguadulce,,,,,,,Carlos,Lee,Carlos,270.0,74.0,R,R,1999-05-07,2012-10-03,lee-c001,leeca01,2012.0,HOU,NL,19000000.0
leecl02,1978.0,8.0,30.0,USA,AR,Benton,,,,,,,Cliff,Lee,Clifton Phifer,205.0,75.0,L,L,2002-09-15,2014-07-31,lee-c003,leecl02,2014.0,PHI,NL,25000000.0
leede02,1975.0,9.0,6.0,USA,CA,Sacramento,,,,,,,Derrek,Lee,Derrek Leon,240.0,77.0,R,R,1997-04-28,2011-09-28,lee-d002,leede02,2011.0,BAL,AL,7250000.0
leiteal01,1965.0,10.0,23.0,USA,NJ,Toms River,,,,,,,Al,Leiter,Alois Terry,200.0,74.0,L,L,1987-09-15,2005-10-02,leita001,leiteal01,2005.0,FLO,NL,7000000.0
lestejo01,1984.0,1.0,7.0,USA,WA,Tacoma,,,,,,,Jon,Lester,Jonathan Tyler,240.0,76.0,L,L,2006-06-10,2015-09-30,lestj001,lestejo01,2015.0,CHN,NL,20000000.0
lillyte01,1976.0,1.0,4.0,USA,CA,Lomita,,,,,,,Ted,Lilly,Theodore Roosevelt,195.0,72.0,L,L,1999-05-14,2013-06-04,lillt001,lillyte01,2013.0,LAN,NL,13166667.0
linceti01,1984.0,6.0,15.0,USA,WA,Bellevue,,,,,,,Tim,Lincecum,Timothy LeRoy,170.0,71.0,L,R,2007-05-06,2015-06-27,linct001,linceti01,2015.0,SFN,NL,18000000.0
lindad01,1983.0,7.0,17.0,USA,IN,Anderson,,,,,,,Adam,Lind,Adam Alan,195.0,74.0,L,L,2006-09-02,2015-10-04,linda001,lindad01,2015.0,MIL,NL,7500000.0
liriafr01,1983.0,10.0,26.0,D.R.,San Cristobal,San Cristobal,,,,,,,Francisco,Liriano,Francisco Casillas,225.0,74.0,L,L,2005-09-05,2015-10-02,lirif001,liriafr01,2015.0,PIT,NL,11666666.0
loaizes01,1971.0,12.0,31.0,Mexico,Baja California,Tijuana,,,,,,,Esteban,Loaiza,Esteban Antonio,230.0,74.0,R,R,1995-04-29,2008-06-11,loaie001,loaizes01,2008.0,LAN,NL,7500000.0
loducpa01,1972.0,4.0,12.0,USA,NY,Brooklyn,,,,,,,Paul,Lo Duca,Paul Anthony,193.0,70.0,R,R,1998-06-21,2008-09-27,lodup001,loducpa01,2008.0,WAS,NL,5000000.0
loftoke01,1967.0,5.0,31.0,USA,IN,East Chicago,,,,,,,Kenny,Lofton,Kenneth,180.0,72.0,L,L,1991-09-14,2007-09-29,loftk001,loftoke01,2007.0,TEX,AL,6000000.0
loganbo02,1984.0,8.0,13.0,USA,TX,San Antonio,,,,,,,Boone,Logan,Boone,215.0,77.0,R,L,2006-04-04,2015-10-01,logab001,loganbo02,2015.0,COL,NL,5500000.0
lohseky01,1978.0,10.0,4.0,USA,CA,Chico,,,,,,,Kyle,Lohse,Kyle Matthew,215.0,74.0,R,R,2001-06-22,2015-10-01,lohsk001,lohseky01,2015.0,MIL,NL,11000000.0
loneyja01,1984.0,5.0,7.0,USA,TX,Houston,,,,,,,James,Loney,James Anthony,235.0,75.0,L,L,2006-04-04,2015-10-04,lonej001,loneyja01,2015.0,TBA,AL,8666666.0
