,United States,6.5
133,"Jacksonville, FL Metropolitan Statistical Area",5.6
133,"Lewiston-Auburn, ME Metropolitan NECTA",5.6
133,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",5.6
133,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",5.6
142,"Bloomington, IN Metropolitan Statistical Area",5.7
142,"Gainesville, GA Metropolitan Statistical Area",5.7
142,"North Port-Bradenton-Sarasota, FL Metropolitan Statistical Area",5.7
142,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",5.7
142,"Pittsburgh, PA Metropolitan Statistical Area",5.7
142,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",5.7
142,"Sherman-Denison, TX Metropolitan Statistical Area",5.7
142,"Wausau, WI Metropolitan Statistical Area",5.7
150,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",5.8
150,"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area",5.8
150,"Evansville, IN-KY Metropolitan Statistical Area",5.8
150,"Indianapolis-Carmel, IN Metropolitan Statistical Area",5.8
150,"Jackson, MS Metropolitan Statistical Area",5.8
150,"Lexington-Fayette, KY Metropolitan Statistical Area",5.8
150,"Punta Gorda, FL Metropolitan Statistical Area",5.8
150,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",5.8
150,"Tyler, TX Metropolitan Statistical Area",5.8
150,"York-Hanover, PA Metropolitan Statistical Area",5.8
160,"Baltimore-Towson, MD Metropolitan Statistical Area",5.9
160,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",5.9
160,"Duluth, MN-WI Metropolitan Statistical Area",5.9
160,"Fort Wayne, IN Metropolitan Statistical Area",5.9
160,"Holland-Grand Haven, MI Metropolitan Statistical Area",5.9
160,"Laredo, TX Metropolitan Statistical Area",5.9
160,"Montgomery, AL Metropolitan Statistical Area",5.9
160,"Napa, CA Metropolitan Statistical Area",5.9
160,"Parkersburg-Marietta-Vienna, WV-OH Metropolitan Statistical Area",5.9
160,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",5.9
160,"Spartanburg, SC Metropolitan Statistical Area",5.9
160,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",5.9
172,"Altoona, PA Metropolitan Statistical Area",6.0
172,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",6.0
172,"Dover, DE Metropolitan Statistical Area",6.0
172,"Hattiesburg, MS Metropolitan Statistical Area",6.0
172,"Knoxville, TN Metropolitan Statistical Area",6.0
172,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",6.0
172,"Owensboro, KY Metropolitan Statistical Area",6.0
172,"Reading, PA Metropolitan Statistical Area",6.0
180,"Anniston-Oxford, AL Metropolitan Statistical Area",6.1
180,"Bremerton-Silverdale, WA Metropolitan Statistical Area",6.1
180,"Cape Girardeau-Jackson, MO-IL Metropolitan Statistical Area",6.1
180,"Farmington, NM Metropolitan Statistical Area",6.1
180,"Greeley, CO Metropolitan Statistical Area",6.1
180,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",6.1
180,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",6.1
180,"Rochester, NY Metropolitan Statistical Area",6.1
180,"Winston-Salem, NC Metropolitan Statistical Area",6.1
189,"Bowling Green, KY Metropolitan Statistical Area",6.2
189,"Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area",6.2
189,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",6.2
189,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",6.2
189,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",6.2
189,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",6.2
189,"Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",6.2
189,"Springfield, OH Metropolitan Statistical Area",6.2
197,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",6.3
197,"Lansing-East Lansing, MI Metropolitan Statistical Area",6.3
197,"Lawton, OK Metropolitan Statistical Area",6.3
197,"Panama City-Lynn Haven-Panama City Beach, FL Metropolitan Statistical Area",6.3
201,"Akron, OH Metropolitan Statistical Area",6.4
201,"Bellingham, WA Metropolitan Statistical Area",6.4
201,"Burlington, NC Metropolitan Statistical Area",6.4
201,"Danville, VA Metropolitan Statistical Area",6.4
201,"Erie, PA Metropolitan Statistical Area",6.4
201,"Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area",6.4
201,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",6.4
201,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",6.4
201,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",6.4
201,"Tucson, AZ Metropolitan Statistical Area",6.4
201,"Wheeling, WV-OH Metropolitan Statistical Area",6.4
212,"Albuquerque, NM Metropolitan Statistical Area",6.5
212,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",6.5
212,"Buffalo-Niagara Falls, NY Metropolitan Statistical Area",6.5
212,"Greenville, NC Metropolitan Statistical Area",6.5
212,"Jacksonville, NC Metropolitan Statistical Area",6.5
212,"Kingston, NY Metropolitan Statistical Area",6.5
212,"Mobile, AL Metropolitan Statistical Area",6.5
212,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",6.5
212,"Syracuse, NY Metropolitan Statistical Area",6.5
221,"Battle Creek, MI Metropolitan Statistical Area",6.6
221,"Charlotte-Gastonia-Rock Hill, NC-SC Metropolitan Statistical Area",6.6
221,"Cleveland, TN Metropolitan Statistical Area",6.6
221,"Goldsboro, NC Metropolitan Statistical Area",6.6
221,"Jonesboro, AR Metropolitan Statistical Area",6.6
221,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical Area",6.6
221,"St. Louis, MO-IL Metropolitan Statistical Area1",6.6
228,"Coeur d'Alene, ID Metropolitan Statistical Area",6.7
228,"Cumberland, MD-WV Metropolitan Statistical Area",6.7
228,"Elkhart-Goshen, IN Metropolitan Statistical Area",6.7
228,"Eugene-Springfield, OR Metropolitan Statistical Area",6.7
228,"Olympia, WA Metropolitan Statistical Area",6.7
228,"Savannah, GA Metropolitan Statistical Area",6.7
228,"Warner Robins, GA Metropolitan Statistical Area",6.7
228,"Williamsport, PA Metropolitan Statistical Area",6.7
236,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",6.8
236,"Chattanooga, TN-GA Metropolitan Statistical Area",6.8
236,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",6.8
236,"Dayton, OH Metropolitan Statistical Area",6.8
236,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",6.8
236,"Johnson City, TN Metropolitan Statistical Area",6.8
236,"Kalamazoo-Portage, MI Metropolitan Statistical Area",6.8
236,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",6.8
236,"Louisville-Jefferson County, KY-IN Metropolitan Statistical Area",6.8
236,"Ocala, FL Metropolitan Statistical Area",6.8
236,"Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",6.8
236,"Utica-Rome, NY Metropolitan Statistical Area",6.8
248,"Binghamton, NY Metropolitan Statistical Area",6.9
248,"Canton-Massillon, OH Metropolitan Statistical Area",6.9
248,"Elmira, NY Metropolitan Statistical Area",6.9
248,"Grand Junction, CO Metropolitan Statistical Area",6.9
248,"Greensboro-High Point, NC Metropolitan Statistical Area",6.9
248,"Gulfport-Biloxi, MS Metropolitan Statistical Area",6.9
248,"Kokomo, IN Metropolitan Statistical Area",6.9
248,"Las Cruces, NM Metropolitan Statistical Area",6.9
248,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",6.9
257,"Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area",7.0
257,"Elizabethtown, KY Metropolitan Statistical Area",7.0
257,"Glens Falls, NY Metropolitan Statistical Area",7.0
257,"Janesville, WI Metropolitan Statistical Area",7.0
257,"Lima, OH Metropolitan Statistical Area",7.0
257,"Muncie, IN Metropolitan Statistical Area",7.0
257,"Valdosta, GA Metropolitan Statistical Area",7.0
264,"Bloomington-Normal, IL Metropolitan Statistical Area",7.1
264,"Monroe, MI Metropolitan Statistical Area",7.1
264,"New Haven, CT Metropolitan NECTA",7.1
264,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",7.1
264,"Sumter, SC Metropolitan Statistical Area",7.1
264,"Wilmington, NC Metropolitan Statistical Area",7.1
270,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.2
270,"Colorado Springs, CO Metropolitan Statistical Area",7.2
270,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",7.2
270,"Port St. Lucie, FL Metropolitan Statistical Area",7.2
270,"Worcester, MA-CT Metropolitan NECTA",7.2
275,"Florence, SC Metropolitan Statistical Area",7.3
275,"Johnstown, PA Metropolitan Statistical Area",7.3
275,"Prescott, AZ Metropolitan Statistical Area",7.3
275,"Salem, OR Metropolitan Statistical Area",7.3
275,"Spokane, WA Metropolitan Statistical Area",7.3
275,"Vallejo-Fairfield, CA Metropolitan Statistical Area",7.3
275,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",7.3
282,"Jackson, TN Metropolitan Statistical Area",7.4
282,"Pittsfield, MA Metropolitan NECTA",7.4
282,"Sandusky, OH Metropolitan Statistical Area",7.4
282,"Toledo, OH Metropolitan Statistical Area",7.4
286,"Anderson, IN Metropolitan Statistical Area",7.5
286,"Hot Springs, AR Metropolitan Statistical Area",7.5
286,"Mansfield, OH Metropolitan Statistical Area",7.5
286,"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",7.5
290,"Columbus, GA-AL Metropolitan Statistical Area",7.6
290,"Flagstaff, AZ Metropolitan Statistical Area",7.6
290,"Fort Smith, AR-OK Metropolitan Statistical Area",7.6
290,"Macon, GA Metropolitan Statistical Area",7.6
290,"Norwich-New London, CT-RI Metropolitan NECTA",7.6
290,"Racine, WI Metropolitan Statistical Area",7.6
290,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",7.6
290,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",7.6
290,"Springfield, IL Metropolitan Statistical Area",7.6
299,"Barnstable Town, MA Metropolitan NECTA",7.7
299,"Rome, GA Metropolitan Statistical Area",7.7
299,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",7.7
302,"Clarksville, TN-KY Metropolitan Statistical Area",7.8
302,"Fayetteville, NC Metropolitan Statistical Area",7.8
302,"Myrtle Beach-North Myrtle Beach-Conway, SC Metropolitan Statistical Area",7.8
305,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",7.9
305,"Pascagoula, MS Metropolitan Statistical Area",7.9
305,"Springfield, MA-CT Metropolitan NECTA",7.9
308,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",8.0
308,"El Paso, TX Metropolitan Statistical Area",8.0
308,"Jackson, MI Metropolitan Statistical Area",8.0
308,"Salisbury, MD Metropolitan Statistical Area",8.0
308,"Steubenville-Weirton, OH-WV Metropolitan Statistical Area",8.0
308,"Terre Haute, IN Metropolitan Statistical Area",8.0
314,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",8.1
314,"Muskegon-Norton Shores, MI Metropolitan Statistical Area",8.1
314,"Saginaw-Saginaw Township North, MI Metropolitan Statistical Area",8.1
317,"Albany, GA Metropolitan Statistical Area",8.2
318,"Bay City, MI Metropolitan Statistical Area",8.3
318,"Brunswick, GA Metropolitan Statistical Area",8.3
